R [n]: received message, n remaining messages in queue
S[id]: sent a message to machine with specified id
SB: sent a message to both other machines
IE: internal event

clock speed (ticks per second): 1

21:18:44.700 0 IE
21:18:45.710 1 IE
21:18:46.713 2 R 0
21:18:47.718 3 IE
21:18:48.722 4 S0
21:18:49.727 17 R 2
21:18:50.730 18 R 1
21:18:51.735 19 R 1
21:18:52.741 20 R 3
21:18:53.744 28 R 2
21:18:54.748 29 R 1
21:18:55.749 30 R 2
21:18:56.749 40 R 2
21:18:57.751 41 R 1
21:18:58.754 42 R 2
21:18:59.756 48 R 3
21:19:00.759 55 R 2
21:19:01.761 56 R 1
21:19:02.763 58 R 1
21:19:03.766 69 R 2
21:19:04.770 70 R 1
21:19:05.774 75 R 0
21:19:06.777 81 R 2
21:19:07.781 84 R 1
21:19:08.784 85 R 0
21:19:09.789 86 IE
21:19:10.793 102 R 0
21:19:11.798 103 R 1
21:19:12.799 104 R 2
21:19:13.802 109 R 1
21:19:14.805 110 R 2
21:19:15.809 115 R 3
21:19:16.812 117 R 2
21:19:17.816 119 R 2
21:19:18.819 120 R 1
21:19:19.822 130 R 2
21:19:20.824 134 R 5
21:19:21.830 135 R 6
21:19:22.830 139 R 6
21:19:23.831 140 R 8
21:19:24.832 141 R 7
21:19:25.836 142 R 8
21:19:26.841 143 R 7
21:19:27.846 144 R 6
21:19:28.851 146 R 5
21:19:29.854 151 R 4
21:19:30.855 152 R 5
21:19:31.861 153 R 6
21:19:32.865 159 R 8
21:19:33.869 161 R 9
21:19:34.872 176 R 10
21:19:35.878 177 R 10
21:19:36.882 182 R 9
21:19:37.887 185 R 8
21:19:38.889 186 R 8
21:19:39.893 188 R 8
21:19:40.895 189 R 8
21:19:41.900 190 R 7
21:19:42.906 193 R 7
21:19:43.909 194 R 7
21:19:44.909 195 R 6
21:19:45.911 199 R 6
21:19:46.916 213 R 7
21:19:47.920 214 R 7
21:19:48.925 215 R 6
21:19:49.929 226 R 7
