R [n]: received message, n remaining messages in queue
S[id]: sent a message to machine with specified id
SB: sent a message to both other machines
IE: internal event

clock speed (ticks per second): 6

21:20:45.270 0 IE
21:20:45.444 1 IE
21:20:45.616 2 SB
21:20:45.786 3 SB
21:20:45.954 4 IE
21:20:46.124 5 IE
21:20:46.294 6 IE
21:20:46.465 7 IE
21:20:46.635 8 IE
21:20:46.804 9 IE
21:20:46.972 10 S2
21:20:47.142 11 S2
21:20:47.311 12 IE
21:20:47.481 13 IE
21:20:47.652 14 IE
21:20:47.822 15 IE
21:20:47.992 16 IE
21:20:48.162 17 IE
21:20:48.332 18 IE
21:20:48.501 19 IE
21:20:48.671 20 S2
21:20:48.842 21 IE
21:20:49.012 22 IE
21:20:49.181 23 IE
21:20:49.350 24 IE
21:20:49.522 25 S2
21:20:49.693 26 IE
21:20:49.863 27 IE
21:20:50.033 28 IE
21:20:50.202 29 IE
21:20:50.371 30 IE
21:20:50.541 31 IE
21:20:50.712 32 IE
21:20:50.881 33 IE
21:20:51.050 34 IE
21:20:51.221 35 IE
21:20:51.390 36 R 0
21:20:51.560 37 S2
21:20:51.727 38 IE
21:20:51.897 39 IE
21:20:52.067 40 S2
21:20:52.237 41 IE
21:20:52.408 42 IE
21:20:52.577 43 S1
21:20:52.746 44 IE
21:20:52.915 45 IE
21:20:53.082 46 IE
21:20:53.252 47 IE
21:20:53.421 48 SB
21:20:53.590 49 S2
21:20:53.758 50 IE
21:20:53.928 51 IE
21:20:54.098 52 IE
21:20:54.267 53 S1
21:20:54.434 54 IE
21:20:54.603 55 R 0
21:20:54.773 56 IE
21:20:54.941 57 IE
21:20:55.111 58 IE
21:20:55.281 59 S2
21:20:55.452 60 S2
21:20:55.621 61 IE
21:20:55.790 62 S1
21:20:55.960 63 SB
21:20:56.129 64 IE
21:20:56.297 65 IE
21:20:56.466 66 R 0
21:20:56.637 67 R 0
21:20:56.806 68 S2
21:20:56.976 69 IE
21:20:57.147 70 S2
21:20:57.315 71 S2
21:20:57.485 72 IE
21:20:57.653 73 IE
21:20:57.824 74 R 0
21:20:57.993 75 IE
21:20:58.164 76 IE
21:20:58.335 77 IE
21:20:58.502 78 S1
21:20:58.671 79 IE
21:20:58.838 80 IE
21:20:59.008 81 IE
21:20:59.179 82 IE
21:20:59.346 83 IE
21:20:59.517 84 SB
21:20:59.687 85 S2
21:20:59.858 86 IE
21:21:00.029 87 S1
21:21:00.198 88 IE
21:21:00.366 89 IE
21:21:00.535 90 IE
21:21:00.706 91 IE
21:21:00.876 92 IE
21:21:01.047 93 R 0
21:21:01.217 94 SB
21:21:01.387 95 IE
21:21:01.558 96 IE
21:21:01.726 97 IE
21:21:01.894 98 IE
21:21:02.065 99 IE
21:21:02.234 100 SB
21:21:02.404 101 S1
21:21:02.574 102 IE
21:21:02.745 103 S2
21:21:02.914 104 IE
21:21:03.084 105 IE
21:21:03.255 106 R 0
21:21:03.426 107 IE
21:21:03.597 108 IE
21:21:03.764 109 IE
21:21:03.934 110 IE
21:21:04.104 111 IE
21:21:04.275 112 IE
21:21:04.445 113 IE
21:21:04.613 114 R 0
21:21:04.782 115 IE
21:21:04.952 116 IE
21:21:05.119 117 IE
21:21:05.290 118 IE
21:21:05.461 119 IE
21:21:05.628 120 SB
21:21:05.797 121 IE
21:21:05.965 122 IE
21:21:06.136 123 IE
21:21:06.305 124 IE
21:21:06.476 125 IE
21:21:06.643 126 IE
21:21:06.812 127 SB
21:21:06.981 128 IE
21:21:07.157 129 R 0
21:21:07.327 130 IE
21:21:07.495 131 IE
21:21:07.666 132 IE
21:21:07.836 133 S2
21:21:08.006 134 R 0
21:21:08.176 135 IE
21:21:08.346 136 R 0
21:21:08.516 137 R 0
21:21:08.686 138 IE
21:21:08.857 139 IE
21:21:09.027 140 IE
21:21:09.196 141 IE
21:21:09.367 142 S1
21:21:09.537 143 IE
21:21:09.706 144 IE
21:21:09.875 145 IE
21:21:10.046 146 IE
21:21:10.216 147 IE
21:21:10.385 148 R 0
21:21:10.555 149 IE
21:21:10.726 150 IE
21:21:10.896 151 IE
21:21:11.063 152 IE
21:21:11.233 153 S1
21:21:11.403 154 IE
21:21:11.573 155 IE
21:21:11.744 156 IE
21:21:11.911 157 IE
21:21:12.079 158 R 0
21:21:12.248 159 IE
21:21:12.416 160 S1
21:21:12.585 161 IE
21:21:12.756 162 S2
21:21:12.926 163 SB
21:21:13.093 164 IE
21:21:13.264 165 IE
21:21:13.431 166 IE
21:21:13.601 167 S2
21:21:13.771 168 S2
21:21:13.941 169 IE
21:21:14.109 170 IE
21:21:14.280 171 R 0
21:21:14.447 172 IE
21:21:14.615 173 IE
21:21:14.786 174 IE
21:21:14.955 175 IE
21:21:15.124 176 IE
21:21:15.294 177 SB
21:21:15.463 178 IE
21:21:15.630 179 SB
21:21:15.802 180 IE
21:21:15.971 181 IE
21:21:16.142 182 IE
21:21:16.314 183 S1
21:21:16.483 184 IE
21:21:16.652 185 S1
21:21:16.821 186 IE
21:21:16.989 187 R 0
21:21:17.156 188 S2
21:21:17.324 189 IE
21:21:17.495 190 IE
21:21:17.664 191 S1
21:21:17.835 192 IE
21:21:18.006 193 IE
21:21:18.176 194 IE
21:21:18.345 195 IE
21:21:18.517 196 S1
21:21:18.686 197 SB
21:21:18.854 198 SB
21:21:19.025 199 R 0
21:21:19.195 200 IE
21:21:19.365 201 S1
21:21:19.531 202 IE
21:21:19.701 203 IE
21:21:19.870 204 IE
21:21:20.041 205 SB
21:21:20.214 206 IE
21:21:20.383 207 SB
21:21:20.550 208 IE
21:21:20.719 209 IE
21:21:20.889 210 IE
21:21:21.058 211 IE
21:21:21.229 212 IE
21:21:21.398 213 IE
21:21:21.568 214 IE
21:21:21.735 215 SB
21:21:21.904 216 IE
21:21:22.074 217 S2
21:21:22.242 218 IE
21:21:22.410 219 IE
21:21:22.580 220 S2
21:21:22.750 221 IE
21:21:22.923 222 IE
21:21:23.094 223 IE
21:21:23.263 224 IE
21:21:23.434 225 IE
21:21:23.603 226 SB
21:21:23.772 227 IE
21:21:23.942 228 IE
21:21:24.109 229 IE
21:21:24.279 230 IE
21:21:24.449 231 IE
21:21:24.616 232 SB
21:21:24.783 233 IE
21:21:24.951 234 IE
21:21:25.122 235 IE
21:21:25.291 236 IE
21:21:25.457 237 IE
21:21:25.625 238 IE
21:21:25.796 239 S1
21:21:25.966 240 IE
21:21:26.136 241 IE
21:21:26.306 242 S1
21:21:26.477 243 R 0
21:21:26.646 244 IE
21:21:26.815 245 SB
21:21:26.986 246 S1
21:21:27.155 247 IE
21:21:27.326 248 S1
21:21:27.495 249 IE
21:21:27.664 250 IE
21:21:27.833 251 IE
21:21:28.002 252 IE
21:21:28.172 253 IE
21:21:28.342 254 SB
21:21:28.512 255 IE
21:21:28.683 256 IE
21:21:28.852 257 R 0
21:21:29.022 258 IE
21:21:29.191 259 SB
21:21:29.360 260 IE
21:21:29.528 261 IE
21:21:29.697 262 S1
21:21:29.866 263 S1
21:21:30.037 264 S1
21:21:30.208 265 S2
21:21:30.376 266 IE
21:21:30.547 267 R 0
21:21:30.716 268 R 0
21:21:30.883 269 IE
21:21:31.052 270 IE
21:21:31.222 271 R 0
21:21:31.393 272 IE
21:21:31.562 273 R 0
21:21:31.729 274 IE
21:21:31.899 275 IE
21:21:32.070 276 S1
21:21:32.238 277 S2
21:21:32.407 278 IE
21:21:32.576 279 IE
21:21:32.747 280 IE
21:21:32.916 281 IE
21:21:33.086 282 IE
21:21:33.255 283 IE
21:21:33.425 284 S2
21:21:33.593 285 IE
21:21:33.761 286 IE
21:21:33.932 287 S1
21:21:34.102 288 S1
21:21:34.271 289 IE
21:21:34.439 290 IE
21:21:34.609 291 IE
21:21:34.779 292 IE
21:21:34.949 293 IE
21:21:35.120 294 SB
21:21:35.288 295 IE
21:21:35.458 296 S1
21:21:35.624 297 IE
21:21:35.792 298 IE
21:21:35.962 299 IE
21:21:36.131 300 IE
21:21:36.302 301 SB
21:21:36.473 302 R 0
21:21:36.642 303 IE
21:21:36.811 304 IE
21:21:36.981 305 S1
21:21:37.152 306 IE
21:21:37.321 307 SB
21:21:37.492 308 IE
21:21:37.662 309 IE
21:21:37.830 310 S2
21:21:37.999 311 R 0
21:21:38.170 312 IE
21:21:38.337 313 IE
21:21:38.505 314 SB
21:21:38.675 315 S1
21:21:38.845 316 IE
21:21:39.015 317 IE
21:21:39.183 318 IE
21:21:39.354 319 R 0
21:21:39.525 320 IE
21:21:39.695 321 R 0
21:21:39.864 322 IE
21:21:40.033 323 IE
21:21:40.203 324 IE
21:21:40.373 325 S2
21:21:40.544 326 IE
21:21:40.713 327 IE
21:21:40.882 328 SB
21:21:41.052 329 S1
21:21:41.220 330 IE
21:21:41.388 331 IE
21:21:41.558 332 R 0
21:21:41.728 333 IE
21:21:41.897 334 S1
21:21:42.065 335 IE
21:21:42.235 336 IE
21:21:42.405 337 SB
21:21:42.574 338 SB
21:21:42.745 339 S1
21:21:42.916 340 IE
21:21:43.085 341 IE
21:21:43.254 342 S2
21:21:43.424 343 IE
21:21:43.593 344 IE
21:21:43.763 345 IE
21:21:43.931 346 S1
21:21:44.101 347 S2
21:21:44.272 348 IE
21:21:44.442 349 IE
21:21:44.612 350 IE
21:21:44.782 351 SB
21:21:44.950 352 IE
21:21:45.118 353 IE
21:21:45.289 354 S2
21:21:45.459 355 IE
21:21:45.628 356 IE
21:21:45.800 357 S1
21:21:45.969 358 S1
