R [n]: received message, n remaining messages in queue
S[id]: sent a message to machine with specified id
SB: sent a message to both other machines
IE: internal event

clock speed (ticks per second): 1

22:04:30.317 0 IE
22:04:31.329 1 R 1
22:04:32.330 3 R 1
22:04:33.334 10 R 3
22:04:34.336 13 R 4
22:04:35.341 14 R 4
22:04:36.345 16 R 4
22:04:37.348 21 R 4
22:04:38.351 22 R 6
22:04:39.355 24 R 6
22:04:40.360 35 R 5
22:04:41.362 36 R 7
22:04:42.366 42 R 7
22:04:43.370 43 R 10
22:04:44.374 44 R 11
22:04:45.377 49 R 10
22:04:46.380 60 R 11
22:04:47.383 61 R 11
22:04:48.387 63 R 11
22:04:49.389 66 R 11
22:04:50.392 69 R 11
22:04:51.394 72 R 11
22:04:52.398 73 R 12
22:04:53.402 76 R 14
22:04:54.406 77 R 14
22:04:55.410 82 R 13
22:04:56.414 93 R 15
22:04:57.417 94 R 15
22:04:58.421 98 R 17
22:04:59.424 102 R 17
22:05:00.427 112 R 16
22:05:01.428 115 R 16
22:05:02.430 117 R 16
22:05:03.432 128 R 17
22:05:04.435 129 R 16
22:05:05.438 130 R 17
22:05:06.442 133 R 17
22:05:07.444 134 R 19
22:05:08.449 138 R 20
22:05:09.452 148 R 21
22:05:10.457 149 R 22
22:05:11.460 152 R 23
22:05:12.465 154 R 23
22:05:13.470 161 R 23
22:05:14.472 162 R 24
22:05:15.475 165 R 24
22:05:16.478 168 R 24
22:05:17.483 183 R 26
22:05:18.487 188 R 26
22:05:19.490 192 R 27
22:05:20.491 195 R 27
22:05:21.494 204 R 28
22:05:22.498 205 R 29
22:05:23.503 210 R 30
22:05:24.506 214 R 30
22:05:25.507 215 R 30
22:05:26.510 217 R 32
22:05:27.511 218 R 32
22:05:28.513 221 R 31
22:05:29.517 226 R 33
22:05:30.521 229 R 39
22:05:31.525 231 R 39
