R [n]: received message, n remaining messages in queue
S[id]: sent a message to machine with specified id
SB: sent a message to both other machines
IE: internal event

clock speed (ticks per second): 5.5

21:40:07.726 0 IE
21:40:07.919 1 IE
21:40:08.103 2 IE
21:40:08.287 3 IE
21:40:08.470 4 IE
21:40:08.655 5 IE
21:40:08.840 6 IE
21:40:09.025 7 IE
21:40:09.211 8 IE
21:40:09.395 9 IE
21:40:09.579 10 IE
21:40:09.764 11 IE
21:40:09.950 12 IE
21:40:10.134 13 IE
21:40:10.320 14 IE
21:40:10.505 15 IE
21:40:10.690 16 IE
21:40:10.875 17 IE
21:40:11.060 18 IE
21:40:11.246 19 IE
21:40:11.431 20 IE
21:40:11.615 21 IE
21:40:11.799 22 IE
21:40:11.983 23 IE
21:40:12.167 24 IE
21:40:12.350 25 IE
21:40:12.534 26 IE
21:40:12.719 27 IE
21:40:12.901 28 IE
21:40:13.085 29 IE
21:40:13.270 30 IE
21:40:13.455 31 IE
21:40:13.640 32 IE
21:40:13.825 33 IE
21:40:14.009 34 IE
21:40:14.195 35 IE
21:40:14.377 36 IE
21:40:14.563 37 IE
21:40:14.748 38 IE
21:40:14.932 39 IE
21:40:15.115 40 IE
21:40:15.301 41 IE
21:40:15.486 42 IE
21:40:15.671 43 S2
21:40:15.855 44 IE
21:40:16.039 45 IE
21:40:16.225 46 IE
21:40:16.410 47 IE
21:40:16.595 48 IE
21:40:16.780 49 IE
21:40:16.964 50 IE
21:40:17.149 51 IE
21:40:17.336 52 IE
21:40:17.520 53 IE
21:40:17.706 54 IE
21:40:17.890 55 IE
21:40:18.077 56 IE
21:40:18.263 57 IE
21:40:18.447 58 IE
21:40:18.633 59 IE
21:40:18.818 60 IE
21:40:19.003 61 IE
21:40:19.186 62 IE
21:40:19.371 63 IE
21:40:19.556 64 IE
21:40:19.741 65 IE
21:40:19.925 66 IE
21:40:20.108 67 IE
21:40:20.292 68 IE
21:40:20.475 69 IE
21:40:20.659 70 IE
21:40:20.843 71 IE
21:40:21.027 72 IE
21:40:21.212 73 IE
21:40:21.395 74 IE
21:40:21.580 75 IE
21:40:21.764 76 IE
21:40:21.949 77 IE
21:40:22.135 78 IE
21:40:22.320 79 IE
21:40:22.505 80 IE
21:40:22.689 81 IE
21:40:22.873 82 IE
21:40:23.056 83 IE
21:40:23.241 84 IE
21:40:23.426 85 IE
21:40:23.611 86 IE
21:40:23.796 87 IE
21:40:23.981 88 IE
21:40:24.166 89 IE
21:40:24.351 90 IE
21:40:24.536 91 IE
21:40:24.721 92 IE
21:40:24.906 93 IE
21:40:25.090 94 IE
21:40:25.274 95 IE
21:40:25.460 96 IE
21:40:25.646 97 IE
21:40:25.831 98 IE
21:40:26.016 99 IE
21:40:26.201 100 IE
21:40:26.386 101 IE
21:40:26.572 102 IE
21:40:26.755 103 IE
21:40:26.936 104 IE
21:40:27.122 105 IE
21:40:27.308 106 IE
21:40:27.490 107 IE
21:40:27.676 108 IE
21:40:27.861 109 IE
21:40:28.046 110 IE
21:40:28.230 111 IE
21:40:28.416 112 IE
21:40:28.602 113 IE
21:40:28.784 114 IE
21:40:28.969 115 IE
21:40:29.152 116 IE
21:40:29.337 117 IE
21:40:29.521 118 IE
21:40:29.707 119 IE
21:40:29.889 120 IE
21:40:30.071 121 IE
21:40:30.257 122 IE
21:40:30.438 123 IE
21:40:30.623 124 IE
21:40:30.807 125 IE
21:40:30.992 126 IE
21:40:31.176 127 IE
21:40:31.360 128 IE
21:40:31.544 129 IE
21:40:31.728 130 IE
21:40:31.913 131 IE
21:40:32.099 132 IE
21:40:32.284 133 IE
21:40:32.470 134 IE
21:40:32.655 135 IE
21:40:32.840 136 IE
21:40:33.024 137 IE
21:40:33.208 138 IE
21:40:33.391 139 IE
21:40:33.576 140 IE
21:40:33.762 141 IE
21:40:33.948 142 IE
21:40:34.131 143 IE
21:40:34.315 144 IE
21:40:34.498 145 IE
21:40:34.683 146 IE
21:40:34.867 147 IE
21:40:35.052 148 IE
21:40:35.236 149 IE
21:40:35.422 150 IE
21:40:35.605 151 IE
21:40:35.788 152 IE
21:40:35.970 153 IE
21:40:36.155 154 IE
21:40:36.340 155 IE
21:40:36.525 156 IE
21:40:36.710 157 IE
21:40:36.895 158 IE
21:40:37.079 159 IE
21:40:37.262 160 IE
21:40:37.443 161 IE
21:40:37.627 162 IE
21:40:37.813 163 IE
21:40:38.000 164 IE
21:40:38.183 165 IE
21:40:38.366 166 IE
21:40:38.551 167 IE
21:40:38.737 168 IE
21:40:38.918 169 SB
21:40:39.101 170 IE
21:40:39.287 171 IE
21:40:39.470 172 IE
21:40:39.655 173 IE
21:40:39.840 174 IE
21:40:40.026 175 IE
21:40:40.209 176 IE
21:40:40.392 177 IE
21:40:40.578 178 IE
21:40:40.762 179 IE
21:40:40.946 180 IE
21:40:41.131 181 IE
21:40:41.317 182 IE
21:40:41.501 183 IE
21:40:41.685 184 IE
21:40:41.867 185 IE
21:40:42.056 186 IE
21:40:42.239 187 IE
21:40:42.425 188 IE
21:40:42.611 189 IE
21:40:42.797 190 IE
21:40:42.982 191 IE
21:40:43.167 192 IE
21:40:43.352 193 IE
21:40:43.535 194 IE
21:40:43.721 195 IE
21:40:43.907 196 IE
21:40:44.093 197 IE
21:40:44.278 198 IE
21:40:44.462 199 IE
21:40:44.648 200 IE
21:40:44.830 201 IE
21:40:45.015 202 IE
21:40:45.200 203 IE
21:40:45.383 204 IE
21:40:45.564 205 IE
21:40:45.752 206 IE
21:40:45.937 207 IE
21:40:46.121 208 IE
21:40:46.306 209 IE
21:40:46.491 210 IE
21:40:46.676 211 IE
21:40:46.859 212 IE
21:40:47.044 213 IE
21:40:47.228 214 IE
21:40:47.412 215 IE
21:40:47.594 216 IE
21:40:47.779 217 IE
21:40:47.962 218 IE
21:40:48.146 219 IE
21:40:48.329 220 IE
21:40:48.513 221 IE
21:40:48.699 222 IE
21:40:48.884 223 IE
21:40:49.068 224 IE
21:40:49.253 225 IE
21:40:49.438 226 IE
21:40:49.624 227 IE
21:40:49.808 228 IE
21:40:49.994 229 IE
21:40:50.180 230 IE
21:40:50.364 231 IE
21:40:50.550 232 IE
21:40:50.735 233 IE
21:40:50.919 234 IE
21:40:51.103 235 IE
21:40:51.290 236 IE
21:40:51.472 237 IE
21:40:51.655 238 IE
